abstract,assignees,crawled_date,date_filed,date_issued,inventors,location,patent_number,title,type,url
"Techniques are provided for determining predicted results for entities based on relatedness of the entities in a graph of nodes. In an embodiment, the graph of nodes is generated based on the determined relatedness of the entities. A node in the graph of nodes represents an entity, and nodes representing entities with known results are assigned those results as their respective node values. The assigned node values are then propagated between the neighboring nodes throughout the graph of nodes in the amount determined by the relatedness of the nodes. Based on the propagation, node values for entities with unknown results are determined and represent the predicted results for those entities. Additionally, various classifiers may be combined with the propagated node values to increase the accuracy of the predicted results.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","August 20, 2019","Qiang Zhu, John Chao, Qingbo Hu",https://patents.justia.com/company/linkedin,10387788,Graph based techniques for predicting results,Grant,https://patents.justia.com/patent/10387788
"The disclosed embodiments provide a system for managing the execution of a statistical model. During operation, the system tracks a distribution of one or more metrics related to a performance of a first version of a statistical model. When a deviation in the distribution is detected, the system outputs an alert of an anomaly in the performance of the statistical model. The system also triggers a rollback to a second version of the statistical model.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","April 4, 2019","Ajith Muralidharan, Yiming Ma, Florian Raudies, Yi Zhen",https://patents.justia.com/company/linkedin,20190102361,AUTOMATICALLY DETECTING AND MANAGING ANOMALIES IN STATISTICAL MODELS,Application,https://patents.justia.com/patent/20190102361
"The disclosed embodiments provide a system for managing an A/B test. During operation, the system calculates a first risk associated with ramping up exposure to a first A/B test by a first ramp amount. Next, the system uses a first sequential hypothesis test to compare the first risk with a first risk tolerance for the first A/B test. When the first sequential hypothesis test indicates that the first risk is within the first risk tolerance, the system automatically triggers a ramp-up of exposure to the first A/B test by the first ramp amount.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","March 28, 2019","Ya Xu, Weitao Duan, Shaochen Huang, Mingyue Tan, Shaohua Xie",https://patents.justia.com/company/linkedin,20190095828,AUTOMATIC RAMP-UP OF CONTROLLED EXPERIMENTS,Application,https://patents.justia.com/patent/20190095828
"The disclosed embodiments provide a system for processing data. During operation, the system obtains a set of features for use with one or more statistical models. Next, the system generates feature profiling data containing a set of statistics for the set of features. The system then outputs the feature profiling data for use in characterizing a distribution of the features. Furthermore, the system updates the outputted feature profiling data based on a granularity associated with the statistics. Finally, the system uses the statistics in the feature profiling data to perform anomaly detection and alerts users if unexpected feature distribution change is detected.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","March 14, 2019","Weiqin Ma, Wenxuan Gao, Weidong Zhang, Hong Lu",https://patents.justia.com/company/linkedin,20190079994,AUTOMATIC FEATURE PROFILING AND ANOMALY DETECTION,Application,https://patents.justia.com/patent/20190079994
"The disclosed embodiments provide a system for discovering address mobility events. Upon detecting a loss of data over a connection with a service at an Internet Protocol (IP) address, the system invalidates a domain name system (DNS) cache on the computer system without waiting for the connection to fail. Next, the system obtains, in response to the invalidated DNS cache, an updated DNS record for the service. The system then uses a new IP address in the updated DNS record to establish a new connection with the service.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","March 14, 2019","Russell I. White, Shafagh Zandi",https://patents.justia.com/company/linkedin,20190081924,DISCOVERING ADDRESS MOBILITY EVENTS USING DYNAMIC DOMAIN NAME SERVICES,Application,https://patents.justia.com/patent/20190081924
"The disclosed embodiments provide a system for processing data. During operation, the system obtains a set of features for use by a set of statistical models. Next, the system generates a schema that includes a logical description of data represented by the features and a physical description related to generating and storing the features. The system then outputs the schema for use in managing and sharing the features across the statistical models. Finally, the system updates the outputted schema to reflect one or more parameters from a user.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","March 14, 2019","Wenxuan Gao, Weiqin Ma, Weidong Zhang, Hong Lu",https://patents.justia.com/company/linkedin,20190079957,"CENTRALIZED FEATURE MANAGEMENT, MONITORING AND ONBOARDING",Application,https://patents.justia.com/patent/20190079957
"The disclosed embodiments provide a system for processing data. During operation, the system obtains an engagement metric correlated with successful usage of a product by a set of customers. Next, the system identifies a threshold for the engagement metric that represents a change in customer growth for the product. The system then uses the threshold and a value of the engagement metric for a customer to characterize a revenue quality of a customer with the product. Finally, the system outputs the revenue quality and the value of the engagement metric for use in managing interaction with the customer.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","February 7, 2019","Mads Johnsen, Jason C. Phan, Ronak Shah, Wei Ling Heng, Jessie Tang, Gloria Yang",https://patents.justia.com/company/linkedin,20190043063,MODEL-BASED ASSESSMENT AND IMPROVEMENT OF RELATIONSHIPS,Application,https://patents.justia.com/patent/20190043063
"The disclosed embodiments provide a system for processing queries of a graph database. During operation, the system executes a set of processes for maintaining the graph database storing a graph, wherein the graph includes a set of nodes, a set of edges between pairs of nodes in the set of nodes, and a set of predicates. When a write query of the graph database is received, the system uses one or more of the processes to process the write query by using a schema of the graph database to validate the write query. Next, the system transmits the validated write query to a set of shards containing the graph database. Finally, the system processes the write query at each shard when a shard identifier representing the shard is matched to one or more attributes in the write query.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","January 24, 2019","Xiaobin Ma, Scott M. Meyer, Andrew Rodriguez, Walaa Eldin M. Moustafa",https://patents.justia.com/company/linkedin,20190026334,DISTRIBUTED GRAPH DATABASE WRITES,Application,https://patents.justia.com/patent/20190026334
"The disclosed embodiments provide a system for processing data. During operation, the system obtains member features for members of a social network, wherein the member features include a company. The system also obtains a definition of a member segment, wherein the definition includes one or more of the member features. Next, the system identifies a subset of the members for inclusion in the member segment using the one or more of the member features. The system then aggregates the member features by the company to generate a set of company features for the company and aggregates the company features by the member segment to generate additional company features for inclusion in the set of company features. Finally, the system outputs the company features for use in processing queries related to the company.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","January 17, 2019","Songtao Guo, Wei Di, Juan Wang",https://patents.justia.com/company/linkedin,20190019258,AGGREGATING MEMBER FEATURES INTO COMPANY-LEVEL INSIGHTS FOR DATA ANALYTICS,Application,https://patents.justia.com/patent/20190019258
"The disclosed embodiments provide a system for monitoring resource usage statistics. During operation, the system obtains a set of expiration times associated with usage of the resource. Next, the system selects a first limit to a number of time slots for use in calculating usage statistics for the resource based on a memory efficiency associated with calculating the usage statistics for the resource. The system then populates, up to the first limit, a set of time slots after a current time with the expiration times. When a time slot in the set of time slots includes the current time, the system uses a subset of the expiration times in the time slot to update one or more usage statistics for the resource. Finally, the system outputs the one or more usage statistics for use in managing the usage of the resource.",LinkedIn Corporation,"09/03/2019, 12:53:42","February 18, 2016","December 27, 2018","Ming Xia, Sivabalan Narayanan, Xun Yin, Ashish Singhai",https://patents.justia.com/company/linkedin,20180373615,"TUNABLE, EFFICIENT MONITORING OF CAPACITY USAGE IN DISTRIBUTED STORAGE SYSTEMS",Application,https://patents.justia.com/patent/20180373615
